,Name,Risk,Category,Rating,1 Year Return,3 Years Return,5 Years Return
109,UTI Healthcare Fund Direct Growth,Very High Risk,Equity,,-4.57%,23.19%,13.56%
110,ICICI Prudential Large & Mid Cap Fund Direct Plan Growth,Very High Risk,Equity,3,14.78%,23.14%,14.23%
111,Taurus Discovery (Midcap) Fund Direct Growth,Very High Risk,Equity,3,9.69%,23.14%,13.06%
112,DSP Natural Resources and New Energy Fund Direct Plan Growth,Very High Risk,Equity,,12.27%,23.10%,11.31%
113,SBI Consumption Opportunities Fund Direct Growth,Very High Risk,Equity,3,17.24%,23.05%,14.44%
114,Nippon India Focused Equity Fund Direct Growth,Very High Risk,Equity,3,12.68%,22.97%,12.51%
115,Kotak Pioneer Fund Direct Growth,Very High Risk,Equity,,-4.28%,22.88%,NA%
116,Aditya Birla Sun Life Infrastructure Direct Fund Growth,Very High Risk,Equity,2,13.33%,22.85%,8.35%
117,Principal Emerging Bluechip Fund Direct Growth,Very High Risk,Equity,4,41.77%,22.81%,20.68%
118,DSP The Infrastructure Growth and Economic Reforms Regular Fund Direct Growth,Very High Risk,Equity,3,17.16%,22.81%,11.53%
119,SBI Large & Midcap Fund Direct Plan Growth,Very High Risk,Equity,5,13.67%,22.69%,14.75%
120,IIFL Focused Equity Fund Direct Growth,Very High Risk,Equity,5,5.74%,22.59%,17.65%
121,HDFC Focused 30 Fund Direct Plan Growth,Very High Risk,Equity,3,24.95%,22.57%,11.74%
122,Aditya Birla Sun Life Small Cap Fund Direct Growth,Very High Risk,Equity,1,-0.10%,22.37%,5.93%
123,Edelweiss Recently Listed IPO Fund Direct Growth,Very High Risk,Equity,,-16.28%,22.30%,NA%
124,JM Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,3,10.93%,22.22%,12.02%
125,Axis Midcap Direct Plan Growth,Very High Risk,Equity,5,0.44%,22.19%,17.40%
126,Canara Robeco Emerging Equities Fund Direct Growth,Very High Risk,Equity,4,4.64%,22.14%,13.91%
127,HDFC Large and Mid Cap Fund Direct Growth,Very High Risk,Equity,3,11.99%,22.07%,13.98%
128,Mirae Asset Emerging Bluechip Fund Direct Growth,Very High Risk,Equity,5,3.85%,21.93%,15.80%
129,Nippon India Value Fund Direct Growth,Very High Risk,Equity,3,10.60%,21.92%,13.32%
130,ICICI Prudential Retirement Fund Pure Equity Plan Direct Growth,Moderately High Risk,Solution Oriented,4,6.26%,21.90%,NA%
131,ICICI Prudential Equity & Debt Fund Direct Growth,Very High Risk,Hybrid,5,14.59%,21.87%,15.00%
132,Franklin India Flexi Cap Fund Direct Growth,Very High Risk,Equity,3,10.13%,21.84%,13.68%
133,PGIM India ELSS Tax Saver Fund Direct Growth,Very High Risk,Equity,4,10.89%,21.78%,14.66%
134,Axis Growth Opportunities Fund Direct Growth,Very High Risk,Equity,4,-3.14%,21.69%,NA%
135,SBI Infrastructure Fund Direct Growth,Very High Risk,Equity,4,13.65%,21.61%,12.37%
136,ICICI Prudential Multi Asset Fund Direct Growth,Very High Risk,Hybrid,4,18.40%,21.58%,14.48%
137,Edelweiss Large & Mid Cap Direct Plan Growth,Very High Risk,Equity,5,9.06%,21.57%,15.34%
138,Canara Robeco Consumer Trends Fund Direct Growth,Very High Risk,Equity,4,11.23%,21.57%,16.98%
139,Franklin Build India Direct Fund Growth,Very High Risk,Equity,3,14.61%,21.56%,12.95%
140,HDFC Flexi Cap Direct Plan Growth,Very High Risk,Equity,3,22.20%,21.55%,14.26%
141,Mirae Asset Tax Saver Fund Direct Growth,Very High Risk,Equity,5,5.74%,21.54%,16.48%
142,Nippon India Multi Cap Fund Direct Growth,Very High Risk,Equity,,18.20%,21.54%,13.58%
143,Aditya Birla Sun Life Dividend Yield Fund Direct Growth,Very High Risk,Equity,,12.10%,21.50%,10.56%
144,Kotak Multi Asset Allocator FoF Dynamic Direct Growth,Very High Risk,Other,,12.90%,21.41%,15.91%
145,Aditya Birla Sun Life Mid Cap Direct Fund Growth,Very High Risk,Equity,1,1.00%,21.30%,8.97%
146,Invesco India PSU Equity Fund Direct Growth,Very High Risk,Equity,,22.53%,21.26%,11.51%
147,HSBC Value Fund Direct Growth,Very High Risk,Equity,3,10.71%,21.24%,11.95%
148,Union Long Term Equity Fund Direct Growth,Very High Risk,Equity,4,6.99%,21.23%,14.38%
149,ICICI Prudential Exports and Services Fund Direct Growth,Very High Risk,Equity,,12.24%,21.09%,13.07%
150,Mahindra Manulife ELSS Kar Bachat Yojana Direct Growth,Very High Risk,Equity,3,9.17%,20.92%,12.31%
151,Sundaram Infrastructure Advantage Fund Direct Growth,Very High Risk,Equity,3,9.06%,20.91%,9.00%
152,Baroda BNP Paribas Multi Cap Fund Direct Growth,Very High Risk,Equity,4,4.52%,20.91%,12.61%
153,Invesco India Multicap Fund Direct Growth,Very High Risk,Equity,,3.87%,20.87%,11.82%
154,Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth,High Risk,Equity,,-4.11%,20.84%,NA%
155,Taurus Ethical Fund Direct Growth,Very High Risk,Equity,,5.06%,20.76%,14.21%
156,Invesco India Contra Fund Direct Growth,Very High Risk,Equity,4,9.47%,20.70%,14.38%
157,UTI Core Equity Fund Direct Growth,Very High Risk,Equity,2,8.10%,20.69%,11.45%
158,Mahindra Manulife Hybrid Equity Nivesh Yojana Direct Growth,Moderately High Risk,Hybrid,4,9.92%,20.66%,NA%
159,HSBC Value Fund Direct Growth,Very High Risk,Equity,2,7.02%,20.62%,11.02%
160,Union Flexi Cap Fund Direct Growth,Very High Risk,Equity,4,4.10%,20.60%,14.63%
161,Kotak Tax Saver Fund Direct Growth,Very High Risk,Equity,4,10.66%,20.54%,14.78%
162,Franklin India Focused Equity Fund Direct Growth,Very High Risk,Equity,3,12.69%,20.53%,13.70%
163,Motilal Oswal Large and Midcap Fund Direct Growth,Moderately High Risk,Equity,4,6.08%,20.49%,NA%
164,Kotak Equity Opportunities Fund Direct Growth,Very High Risk,Equity,4,12.36%,20.48%,14.47%
165,Sundaram Large and Mid Cap Fund Direct Growth,Very High Risk,Equity,3,4.16%,20.40%,12.62%
166,Franklin India Opportunities Direct Fund Growth,Very High Risk,Equity,,2.81%,20.39%,11.70%
167,SBI Long Term Equity Fund Direct Plan Growth,Very High Risk,Equity,3,11.10%,20.39%,12.17%
168,Nippon India Quant Fund Retail Direct Growth,Very High Risk,Equity,,12.10%,20.39%,13.40%
169,Navi Large & Midcap Fund Direct Growth,Very High Risk,Equity,3,8.76%,20.35%,13.65%
170,DSP Nifty 50 Equal Weight Index Fund Direct Growth,Very High Risk,Other,3,11.41%,20.31%,12.28%
171,Tata Large & Mid Cap Fund Direct Plan Growth,Very High Risk,Equity,4,15.13%,20.28%,14.98%
172,Sundaram Mid Cap Fund Direct Growth,Very High Risk,Equity,2,10.07%,20.21%,9.18%
173,Taurus Infrastructure Fund Direct Growth,Very High Risk,Equity,3,10.26%,20.20%,11.12%
174,Mirae Asset Focused Fund Direct Growth,Very High Risk,Equity,4,-1.21%,20.18%,NA%
175,UTI Transportation and Logistics Fund Direct Growth,Very High Risk,Equity,,20.08%,20.14%,6.52%
176,IDBI Midcap Fund Direct Growth,Very High Risk,Equity,1,2.08%,20.13%,9.48%
177,Canara Robeco Flexi Cap Fund Direct Growth,Very High Risk,Equity,4,4.18%,20.11%,15.48%
178,IDFC Core Equity Fund Direct Growth,Very High Risk,Equity,3,12.82%,20.09%,12.59%
179,Union Focused Fund Direct Growth,Moderately High Risk,Equity,4,4.76%,20.01%,NA%
180,IDBI Dividend Yield Fund Direct Growth,Very High Risk,Equity,,5.06%,20.01%,NA%
181,IDBI Flexi Cap Fund Direct Growth,Very High Risk,Equity,3,6.33%,19.99%,13.63%
182,Kotak India EQ Contra Fund Direct Growth,Very High Risk,Equity,4,12.40%,19.97%,15.70%
183,Sundaram Focused Fund Direct Growth,Very High Risk,Equity,4,4.19%,19.94%,14.67%
184,SBI Equity Minimum Variance Fund Direct Growth,Very High Risk,Equity,,10.79%,19.91%,NA%
185,HSBC Infrastructure Fund Direct Growth,Very High Risk,Equity,3,9.95%,19.88%,8.52%
186,UTI Value Opportunities Fund Direct Growth,Very High Risk,Equity,4,8.61%,19.88%,14.29%
187,DSP Tax Saver Direct Plan Growth,Very High Risk,Equity,4,8.52%,19.86%,14.27%
188,Sundaram Multi Cap Fund Direct Growth,Very High Risk,Equity,,4.88%,19.73%,11.24%
189,IDBI Healthcare Fund Direct Growth,High Risk,Equity,,-5.15%,19.72%,NA%
190,Bank of India Large & Mid Cap Equity Fund Direct Growth,Very High Risk,Equity,2,7.13%,19.64%,11.05%
191,Sundaram Dividend Yield Fund Direct Growth,Very High Risk,Equity,,7.04%,19.56%,12.52%
192,Mirae Asset Great Consumer Fund Direct Growth,Very High Risk,Equity,3,11.20%,19.54%,15.28%
193,Edelweiss Flexi Cap Fund Direct Growth,Very High Risk,Equity,3,8.61%,19.53%,13.45%
194,Baroda BNP Paribas India Consumption Fund Direct Growth,Very High Risk,Equity,4,7.65%,19.50%,NA%
195,BNP Paribas Multi Cap Fund Direct Growth,Very High Risk,Equity,,20.46%,19.42%,15.26%
196,JM Flexicap Fund Direct Plan Growth,Very High Risk,Equity,3,12.08%,19.41%,14.49%
197,IDBI India Top 100 Equity Fund Direct Growth,Very High Risk,Equity,4,8.74%,19.32%,13.80%
198,HSBC Infrastructure Fund Direct Growth,Very High Risk,Equity,3,5.31%,19.24%,8.00%
199,Franklin India Taxshield Direct Growth,Very High Risk,Equity,3,10.05%,19.18%,12.77%
200,LIC MF Infrastructure Fund Direct Growth,Very High Risk,Equity,3,12.56%,19.14%,11.89%
201,Aditya Birla Sun Life India GenNext Direct Fund Growth,Very High Risk,Equity,3,8.58%,19.13%,15.04%
202,JM Value Fund Direct Plan Growth,Very High Risk,Equity,2,9.15%,19.11%,12.22%
203,Aditya Birla Sun Life Pure Value Direct Fund Growth,Very High Risk,Equity,1,8.48%,19.06%,4.88%
204,JM Tax Gain Direct Plan Growth,Very High Risk,Equity,3,4.87%,19.06%,14.02%
205,Franklin India Prima Direct Fund Growth,Very High Risk,Equity,2,5.92%,19.04%,11.33%
206,HDFC Capital Builder Value Fund Direct Plan Growth,Very High Risk,Equity,2,9.98%,19.01%,11.26%
207,Canara Robeco Bluechip Equity Fund Direct Growth,Very High Risk,Equity,5,5.66%,18.98%,16.15%
208,Kotak Equity Hybrid Fund Direct Growth,Very High Risk,Hybrid,4,9.03%,18.92%,13.52%
209,HSBC Midcap Fund Direct Growth,Very High Risk,Equity,2,5.44%,18.91%,9.38%
210,UTI Long Term Equity Fund Direct Growth,Very High Risk,Equity,3,1.65%,18.83%,12.67%
211,Kotak Focused Equity Fund Direct Growth,Very High Risk,Equity,3,6.76%,18.79%,NA%
212,ICICI Prudential Multicap Fund Direct Plan Growth,Very High Risk,Equity,,10.48%,18.77%,13.43%
213,Tata India Consumer Fund Direct Growth,Very High Risk,Equity,2,8.16%,18.74%,12.24%
214,SBI Magnum Global Direct Plan Growth,Very High Risk,Equity,,1.95%,18.71%,11.30%
215,HSBC Business Cycles Fund Direct Growth,Very High Risk,Equity,,10.74%,18.71%,8.93%
216,Tata India Tax Savings Fund Direct Growth,Very High Risk,Equity,3,12.36%,18.67%,13.21%
217,UTI Dividend Yield Fund Direct Growth,Very High Risk,Equity,,1.06%,18.67%,12.55%
218,HDFC Balanced Advantage Fund Direct Plan Growth,Very High Risk,Hybrid,3,20.09%,18.61%,12.41%
219,Quantum India ESG Equity Fund Direct Growth,High Risk,Equity,,1.62%,18.59%,NA%
220,HDFC Taxsaver Direct Plan Growth,Very High Risk,Equity,2,15.10%,18.56%,10.27%
221,UTI Flexi Cap Fund Direct Growth,Very High Risk,Equity,4,-8.25%,18.55%,14.85%
222,HSBC Business Cycles Fund Direct Growth,Very High Risk,Equity,,7.47%,18.43%,8.52%
223,DSP Equity Opportunities Direct Plan Growth,Very High Risk,Equity,3,8.09%,18.43%,12.30%
224,ICICI Prudential Bluechip Fund Direct Growth,Very High Risk,Equity,5,11.21%,18.43%,13.64%
225,ICICI Prudential Long Term Equity Fund (Tax Saving) Direct Plan Growth,Very High Risk,Equity,4,6.97%,18.39%,13.79%
226,Motilal Oswal Nifty 500 Index Fund Direct Growth,Moderately High Risk,Other,3,7.45%,18.28%,NA%
227,HSBC Midcap Fund Direct Growth,Very High Risk,Equity,2,1.58%,18.22%,8.75%
228,LIC MF Large & Mid Cap Fund Direct Growth,Very High Risk,Equity,3,4.83%,18.19%,13.25%
229,Nippon India Large Cap Fund Direct Growth,Very High Risk,Equity,3,15.24%,18.17%,13.12%
230,Edelweiss Aggressive Hybrid Fund Direct Growth,Very High Risk,Hybrid,4,9.99%,18.08%,13.75%
231,Sundaram Select Focus Fund Direct Growth,Very High Risk,Equity,5,25.71%,18.04%,18.50%
232,HSBC Large and Mid Cap Fund Direct Growth,Moderately High Risk,Equity,2,4.03%,17.94%,NA%
233,DSP Midcap Direct Plan Growth,Very High Risk,Equity,2,-0.19%,17.91%,11.06%
234,Nippon India Vision Direct Growth,Very High Risk,Equity,1,7.21%,17.91%,8.51%
235,ICICI Prudential BHARAT 22 FOF Direct Growth,Very High Risk,Other,1,28.72%,17.88%,NA%
236,UTI Mastershare Direct Growth,Very High Risk,Equity,4,3.57%,17.86%,13.66%
237,UTI Hybrid Equity Fund Direct Fund Growth,Very High Risk,Hybrid,3,8.53%,17.86%,10.49%
238,UTI Infrastructure Fund Direct Growth,Very High Risk,Equity,2,12.82%,17.85%,9.49%
239,IDBI Long Term Value Fund Direct Growth,Very High Risk,Equity,2,5.19%,17.84%,NA%
240,Kotak Bluechip Fund Direct Growth,Very High Risk,Equity,5,6.46%,17.83%,14.03%
241,Edelweiss Large Cap Fund Direct Growth,Very High Risk,Equity,4,8.66%,17.77%,14.27%
242,Edelweiss Long Term Equity Fund (Tax Savings) Direct Growth,Very High Risk,Equity,3,7.85%,17.76%,11.46%
243,Franklin India Equity Advantage Fund Direct Growth,Very High Risk,Equity,2,1.86%,17.68%,10.74%
244,IDBI Focused 30 Equity Fund Direct Growth,Very High Risk,Equity,2,4.69%,17.63%,11.44%
245,Tata Equity PE Fund Direct Growth,Very High Risk,Equity,3,10.41%,17.58%,11.28%
246,DSP Flexi Cap Fund Direct Plan Growth,Very High Risk,Equity,3,0.15%,17.56%,13.10%
247,Baroda Equity Linked Saving Scheme 96 Direct Growth,Very High Risk,Equity,3,18.49%,17.55%,12.53%
248,SBI Bluechip Direct Plan Growth,Very High Risk,Equity,3,8.25%,17.51%,12.70%
249,HDFC Retirement Savings Fund Hybrid Equity Plan Direct Growth,Very High Risk,Solution Oriented,4,7.07%,17.48%,12.79%
250,Indiabulls Value Fund Direct Growth,Very High Risk,Equity,2,6.72%,17.45%,7.57%
251,Aditya Birla Sun Life Flexi Cap Fund Direct Growth,Very High Risk,Equity,3,5.29%,17.42%,12.26%
252,ICICI Prudential Bharat Consumption Fund Direct Growth,High Risk,Equity,3,14.12%,17.37%,NA%
253,HDFC Hybrid Equity Fund Direct Plan Growth,Very High Risk,Hybrid,3,11.50%,17.28%,12.01%
254,Mahindra Manulife Large Cap Pragati Yojana Direct Growth,Moderately High Risk,Equity,4,7.17%,17.27%,NA%
255,SBI PSU Direct Plan Growth,Very High Risk,Equity,,31.20%,17.20%,6.15%
256,HSBC Tax Saver Equity Fund Direct Growth,Very High Risk,Equity,2,6.92%,17.20%,10.44%
257,Navi Flexi Cap Fund Direct Growth,Very High Risk,Equity,3,8.62%,17.19%,NA%
258,HSBC Flexi Cap Fund Direct Growth,Very High Risk,Equity,2,1.79%,17.16%,10.06%
259,HDFC Infrastructure Direct Plan Growth,Very High Risk,Equity,1,22.37%,17.16%,3.26%
260,Taurus Nifty 50 Index Fund Direct Growth,Very High Risk,Other,,8.60%,17.13%,14.27%
261,Sundaram Equity Hybrid Fund Direct Growth,High Risk,Hybrid,4,30.11%,17.11%,15.70%
262,Baroda BNP Paribas Balanced Advantage Fund Direct Growth,Very High Risk,Hybrid,4,7.09%,17.10%,NA%
263,IDFC Nifty 50 Index Direct Plan Growth,Very High Risk,Other,4,8.90%,17.08%,14.32%
264,SBI Focused Equity Fund Direct Plan Growth,Very High Risk,Equity,4,-5.70%,17.04%,13.61%
265,Sundaram Diversified Equity Fund Direct Growth,Very High Risk,Equity,2,31.78%,17.03%,14.26%
266,DSP Quant Fund Direct Growth,High Risk,Equity,,-1.45%,17.03%,NA%
267,Aditya Birla Sun Life Frontline Equity Direct Fund Growth,Very High Risk,Equity,3,7.92%,17.02%,12.12%
